Country,Facility Name,Facility Type,Fuel Type,Facility Status,Scale,Design Capacity,Start of Operation,End of Operation
Albania,RWSF - Radioactive Waste Storage Facility,"LLW, ILW, DSRS Storage",,In Operation,Laboratory,300 m3,2000,
Argentina,Los Colorados2,Uranium Ore Processing,,Shutdown,Commercial,30 t U/year,1993,1995
Argentina,Arroyito HW Production Facility,Heavy Water Production,,In Operation,Commercial,200 t/year,1993,
Argentina,Atucha HW Production Facility,Heavy Water Production,,Shutdown,Pilot plant,2 t/year,1988,
Argentina,Cordoba Conversion Facility,Conversion to UO2,,In Operation,Commercial,175 t HM/year,1982,
Argentina,Ezeiza - Nuclear Fuel Manufacture Plant,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,In Operation,Commercial,240 t HM/year,1982,
Argentina,Ezeiza - Special Alloy Fabrication,Zirconium Alloy Production,,In Operation,Commercial,10 t/year,1987,
Argentina,Ezeiza - SF Reprocessing Facility,Spent Fuel Reprocessing - aqueous route,,Others,Pilot plant,5 t HM/year,,
Argentina,La Estela,Uranium Ore Processing,,Shutdown,Commercial,20 t U/year,1985,1990
Argentina,Los Gigantes,Uranium Ore Processing,,Decommissioned,Commercial,45 t U/year,1982,1989
Argentina,Malargue,Uranium Ore Processing,,Shutdown,Commercial,85 t U/year,1954,1988
Argentina,Pilcaniyeu Enrichment Facility,Uranium Enrichment,,In Operation,Pilot plant,20 MTSWU/year,1990,
Argentina,Ezeiza - Special Alloy Fabrication,Zirconium Alloy Tubing,,In Operation,Commercial,300 km/year,1987,
Argentina,San Rafael,Uranium Ore Processing,,Stand By,Commercial,120 t U/year,1979,
Argentina,Pilcaniyeu Conversion Facility,Conversion to UF6,,In Operation,Commercial,62 t HM/year,1984,
Argentina,Don Otto,Uranium Ore Processing,,Stand By,Commercial,40 t U/year,1964,1981
Argentina,Los Adobes,Uranium Ore Processing,,Shutdown,Commercial,55 t U/year,1977,1985
Argentina,Atucha SF Storage Facility,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,986 t HM,1988,
Argentina,Embalse SF Storage Facility,AFR Dry Spent Fuel Storage,,In Operation,Commercial,2000 t HM,1993,
Argentina,CTP Low-level Radioactive Waste Deposit.,Predisposal (LLW),,In Operation,Commercial, ,,
Argentina,Research Reactors Irradiated Fuel Storage Facility (FACIRI),AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial, ,,
Armenia,Dry Storage of Spent Nuclear Fuel Assemblies,AFR Dry Spent Fuel Storage,UOX for VVER,In Operation,Commercial,74 t HM,2000,2050
Armenia,Dry storage of Spent Nuclear Fuel Assemblies-Metzamor NPP Site,AFR Dry Spent Fuel Storage,UOX for VVER,In Operation,Commercial,161.28 t HM,2008,2058
Armenia,Solid LLW storage facility,Predisposal (LLW),,In Operation,Commercial,17051 m3,,
Armenia,Solid ILLW storage facility,Predisposal (ILW),,In Operation,Commercial,1001 m3,,
Armenia,DEF containers temporary storage site,Other-Waste Management Facilities,,In Operation,Commercial, ,,
Armenia,Solid HLLW storage facility,Predisposal (HLW),,In Operation,Commercial,78 m3,,
Armenia,Liquid RW storage facilities (ECT and HLST-1),Liquid RW storage facility,,In Operation,Commercial,3170 m3,,
Armenia,Liquid RW storage facility (HLST-2),Liquid RW storage facility,,In Operation,Commercial,350 ,,
Australia,Ben Lomond,Uranium Ore Processing,,Others,Commercial,424 t U/year,,
Australia,Beverley,Uranium Ore Processing,,In Operation,Commercial,1100 t U/year,2001,
Australia,Honeymoon,Uranium Ore Processing,,Refurbishment,Commercial,1272 t U/year,2011,
Australia,Kintyre,Uranium Ore Processing,,Others,Commercial,4400 t U/year,,
Australia,Koongarra,Uranium Ore Processing,,Others,Commercial,1100 t U/year,,
Australia,Lake Way,Uranium Ore Processing,,Others,Commercial,424 t U/year,,
Australia,Nabarlek,Uranium Ore Processing,,Decommissioned,Commercial,1145 t U/year,1980,1988
Australia,Olympic Dam,Uranium Ore Processing,,In Operation,Commercial,4500 t U/year,1988,
Australia,Ranger,Uranium Ore Processing,,Decommissioning,Commercial,6000 ,1981,2021
Australia,Rum Jungle,Uranium Ore Processing,,Decommissioned,Commercial,3500 t U/year,1954,1971
Australia,Silex,Uranium Enrichment,,Decommissioned,Laboratory,0 MTSWU/year,1992,2007
Australia,Four Mile,Uranium Mining,,In Operation,Commercial,2307 t U/year,2014,
Australia,Oban,Uranium Ore Processing,,Others,Pilot plant, ,,
Australia,Crocker Well,Uranium Ore Processing,,Others,Commercial, ,,
Australia,Lake Maitland,Uranium Ore Processing,,Others,Commercial,750 t U/year,2013,2023
Australia,Wiluna/Yeeline,Uranium Ore Processing,,Others,Commercial,6360 t U/year,,
Australia,Mulga Rock,Uranium Ore Processing,,Others,Commercial,1360 t/year,2020,2036
Austria,Seibersdorf NES,Predisposal (LLW),,In Operation,Commercial, ,,
Belarus,Specialized Enterprise for Radioactive Waste Management UE “Ekores”,Other-Waste Management Facilities,,In Operation,Commercial, ,1963,
Belgium,Belgonucleaire PO Plant,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)","MOX for PWR, MOX for BWR",Decommissioned,Commercial,40 t HM/year,1973,2006
Belgium,FBFC International - LWR Fuel Fabrication Plant,"Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",Decommissioned,Commercial,500 t HM/year,1961,2012
Belgium,B102 (Belgoprocess Site),AFR Wet Spent Fuel Storage (Pool),"UOX for PWR, Fuel for Research Reactor",Decommissioning,Commercial,370 t HM,1965,1975
Belgium,Prayon,Uranium Recovery from Phosphates,,Decommissioned,Commercial,45 t U/year,1980,1998
Belgium,Eurochemic (Belgoprocess Site),Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,60 t HM/year,1966,1975
Belgium,Doel NPP Site,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,2100 t HM,1995,
Belgium,Tihange NPP Site,AFR Wet Spent Fuel Storage (Pool),UOX for PWR,In Operation,Commercial,1760 t HM,1997,
Belgium,FBFC International - MOX,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)","MOX for PWR, MOX for BWR",Decommissioned,Commercial,100 t HM/year,1997,2015
Belgium,Belgian Reactor 3,AR Spent Fuel Storage,UOX for PWR,Decommissioning,Pilot plant, ,1962,1987
Belgium,Spent Fuel Storage Facility Doel,AFR Dry Spent Fuel Storage,,Under Construction,Commercial, ,,
Belgium,Spent Fuel Storage Facility Tihange,AFR Dry Spent Fuel Storage,,Under Construction,Commercial, ,2023,
Bosnia and Herzegovina,Rakovica Central temporary storage facility,Predisposal (LLW),,In Operation,Commercial, ,,
Brazil,INB-Santa Quiteria Mining and Ore Plant,Uranium Recovery from Phosphates,,Others,Commercial,2300 t U/year,2020,
Brazil,URA-Caetite Uranium Mining and Milling facility,Uranium Ore Processing,,In Operation,Commercial,400 t U/year,1999,
Brazil,UDC-Caldas Decommissioning Unit,Uranium Ore Processing,,Shutdown,Commercial,360 t U/year,1981,1995
Brazil,FCN components and Assembly,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Commercial,240 t HM/year,1982,
Brazil,FCN Pilot Plant,Uranium Enrichment,,Decommissioned,Pilot plant,500 MTSWU/year,,1989
Brazil,IPEN - Conversion Unit,Conversion to UF6,,Shutdown,Pilot plant,90 t HM/year,1984,1993
Brazil,IPEN - Reprocessing,Spent Fuel Reprocessing - aqueous route,,Shutdown,Laboratory,0 t HM/year,1982,1993
Brazil,IPEN - Zirconium Metal,Zirconium Alloy Production,,Shutdown,Pilot plant,5 t/year,1988,1992
Brazil,IPEN - U Reduction Unit,Conversion to U Metal,,Shutdown,Pilot plant,30 t HM/year,1986,1990
Brazil,IPEN - Zirconium Oxide,Zirconium Alloy Production,,Shutdown,Pilot plant,1 t HM/year,1988,1992
Brazil,Uranium  Enrichment Industrial Demonstration Pilot Plant,Uranium Enrichment,,Stand By,Pilot plant,4 MTSWU/year,1998,2016
Brazil,FCN Enrichment Plant,Uranium Enrichment,,In Operation,Commercial,120 MTSWU/year,2005,
Brazil,Aerospace Technical Center,Uranium Enrichment,,Stand By,Laboratory,0 MTSWU/year,1981,
Brazil,Pilot Uranium Enrichment Plant,Uranium Enrichment,,Decommissioned,Pilot plant,0 MTSWU/year,1979,1989
Brazil,FCN Reconversion and Pellets,Re-conversion to UO2 Powder,UOX for PWR,In Operation,Commercial,120 t HM/year,2000,
Brazil,Isotopic  Enrichment Laboratory,Uranium Enrichment,,In Operation,Laboratory,5 MTSWU/year,1988,
Brazil, Conversion Facility,Conversion to UF6,,Commissioning,Pilot plant,40 t HM/year,,
Brazil,Nuclear Materials laboratory,Re-conversion to UO2 Powder,,In Operation,Laboratory,2.55 t HM/year,1993,
Brazil,Instrumentation and Nuclear  Fuel Development laboratory,Fuel Assembly Component Manufacturing (hardware),,In Operation,Laboratory,21 Elements/year,1985,
Brazil,IPEN-Nuclear Fuel Center,Fuel Fabrication (Research Reactors),,Stand By,Laboratory,30 Elements/year,2004,
Brazil,Irradiated fuel dry complementary Storage unit,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial, ,2021,
Brazil,Nuclear materials Laboratory,"Fuel Fabrication (U Pellet, Pin, FA)",,Commissioning,Laboratory, ,2013,
Brazil,Nuclear Fuel Laboratory,"Fuel Fabrication (U Pellet, Pin, FA)",,Stand By,Laboratory,0 t HM/year,1978,
Brazil,Isotopic Separation Element Development Laboratory,Other-Related Industrial Activities,,In Operation,Laboratory,0 t HM/year,1980,
Brazil,OLD STEAM GENERATORS STORAGE FACILITY (ANGRA-1),Other-Waste Management Facilities,,In Operation,Commercial, ,,
Brazil,internal storage facility (KPE located in UKA Building ANGRA-2),AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,1644 t HM,2001,
Bulgaria,Bukhovo,Uranium Ore Processing,,Shutdown,Commercial,300 t U/year,,1994
Bulgaria,Kozloduy NPP Site - Wet Storage,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,600 t HM,2004,
Bulgaria,Eleshnitza,Uranium Ore Processing,,Shutdown,Commercial,200 t U/year,,1994
Bulgaria,Plovdiv (Rosen),Uranium Ore Processing,,Shutdown,Commercial,100 t U/year,,1995
Bulgaria,Kozloduy NPP Site - Dry Storage,AFR Dry Spent Fuel Storage,UOX for VVER,In Operation,Commercial,300 t HM,2012,
Burkina Faso,ARSN,Disposal (LILW),,In Operation,Commercial,1.5 m3,2019,2030
Burkina Faso,agricultural and environmental research centre,Disposal (LLW),,Commissioning,Commercial, ,2020,2030
Burkina Faso,TAPARKO,Disposal (LILW),,Commissioning,Commercial,3 m3,2020,2030
Canada,BHWP - A,Heavy Water Production,,Decommissioned,Commercial,800 t/year,1973,1984
Canada,BHWP - B,Heavy Water Production,,Decommissioning,Commercial,800 t/year,1979,1997
Canada,BHWP - D,Heavy Water Production,,Others,Commercial,800 t/year,,
Canada,Calgary,Uranium Recovery from Phosphates,,Decommissioned,Commercial,70 t U/year,1980,1987
Canada,Cluff Lake,Uranium Ore Processing,,Decommissioning,Commercial,1900 t U/year,1980,2002
Canada,Denison,Uranium Ore Processing,,Decommissioned,Commercial,2700 t U/year,1957,1992
Canada,Rabbit Lake,Uranium Ore Processing,,Stand By,Commercial,4615 t U/year,1975,
Canada,Cameco - Blind River (UO3),Conversion to UO3,,In Operation,Commercial,18000 t HM/year,1983,
Canada,Cameco - Port Hope (U),Conversion to U Metal,,In Operation,Commercial,2000 t HM/year,1985,
Canada,Cameco - Port Hope (UF6),Conversion to UF6,,In Operation,Commercial,12500 t HM/year,1984,
Canada,Cameco - Port Hope (UO2),Conversion to UO2,,In Operation,Commercial,2800 t HM/year,1980,
Canada,General Electric Canada Inc. - Arnprior,Zirconium Alloy Tubing,,In Operation,Commercial,1350 km/year,1981,
Canada,Key Lake/McArthur River,Uranium Ore Processing,,Stand By,Commercial,11350 t U/year,1983,
Canada,Moncton,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,Decommissioned,Commercial,250 t HM/year,,1986
Canada,N. Fuel PLLT. OP. - Toronto,"Fuel Fabrication (U Pellet, Pin, FA)",,In Operation,Commercial,1300 t HM/year,1955,
Canada,Nuclear Product Department - Cobourgh,Zirconium Alloy Tubing,,In Operation,Commercial,950 km/year,1976,
Canada,Cameco Fuel Manufacturing Inc - Port Hope,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,In Operation,Commercial,1650 t HM/year,1957,
Canada,Panel,Uranium Ore Processing,,Decommissioned,Commercial,800 t U/year,1979,1990
Canada,Peterborough Facility,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,In Operation,Commercial,1200 t HM/year,1955,
Canada,"Port Hawkesbury, Point Tupper",Heavy Water Production,,Decommissioned,Commercial,400 t/year,1967,1986
Canada,Quirke,Uranium Ore Processing,,Decommissioned,Commercial,1400 t U/year,1956,1990
Canada,Stanleigh,Uranium Ore Processing,,Decommissioned,Commercial,600 t U/year,1983,1996
Canada,Point Lepreau NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,3078 t HM,1991,
Canada,Kiggavik,Uranium Ore Processing,,Others,Commercial,1200 t U/year,,
Canada,Beaverlodge,Uranium Ore Processing,,Decommissioned,Commercial,1000 t U/year,1952,1982
Canada,Agnew Lake,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,,1983
Canada,Madawaska (Faraday),Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,,1982
Canada,Stanrock,Uranium Ore Processing,,Decommissioned,Commercial,300 t U/year,,
Canada,McClean Lake,Uranium Ore Processing,,In Operation,Commercial,9240 t U/year,1999,
Canada,Gentilly 1 NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,0 t HM,1985,
Canada,Douglas Point NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,0 t HM,1987,
Canada,Whiteshell Laboratories,AFR Dry Spent Fuel Storage,,In Operation,Commercial,0 t HM,1977,
Canada,NPD Spent Fuel Storage,AFR Dry Spent Fuel Storage,,In Operation,Commercial,75 t HM,1987,
Canada,"Pickering Waste Management Facility, Buildings 1&2",AFR Dry Spent Fuel Storage,,In Operation,Commercial, t HM,1996,
Canada,BHWP - C,Heavy Water Production,,Others,Commercial,800 t/year,,
Canada,"Chalk River Laboratories, NFFF",Fuel Fabrication (Research Reactors),,Stand By,Commercial, t HM/year,1990,2018
Canada,Port Hope Eldorado,Zirconium Alloy Production,,Decommissioned,Commercial,300 t/year,1968,1970
Canada,Gentilly 2 NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,0 t HM,1995,
Canada,Western Waste Management Facility,AFR Dry Spent Fuel Storage,,In Operation,Commercial,0 t HM,2003,
Canada,Glace Bay,Heavy Water Production,,Decommissioned,Commercial,250 t/year,1964,1985
Canada,Recycle Fuel Fabr. Lab. (RFFL),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Stand By,Laboratory,0 t HM/year,1979,2018
Canada,Pu and Thorium Processing Facility,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioning,Laboratory,0 t HM/year,1952,1957
Canada,Darlington Used Fuel Storage Facility,AFR Dry Spent Fuel Storage,,In Operation,Commercial,10944 t HM,2008,
Canada,Cigar lake Mine,Uranium Ore Processing,,In Operation,Commercial,8200 t/year,2014,
Canada,Waste Management Area A,Disposal (LILW),,Shutdown,Laboratory, ,1946,
Canada,Waste Management Area B,Disposal (LILW),,In Operation,Commercial, ,2024,
Canada,Waste Management Area C,Disposal (LLW),,In Operation,Commercial, ,2024,
Canada,Waste Management Area D,Other-Waste Management Facilities,,In Operation,Commercial, ,1976,
Chile,Radioactive Waste Facility-La Reina (Storage Room),Disposal (LILW),,In Operation,Commercial, ,1998,
Chile,Radioactive Waste Facility-La Reina (Modular Storage),Disposal (LILW),,In Operation,Commercial, ,2012,
Chile,Radioactive Waste Facility-La Reina (Storage Pit),Disposal (LILW),,In Operation,Commercial, ,1978,
Chile,RECH-1,AFR Wet Spent Fuel Storage (Pool),,In Operation,Laboratory, ,1974,
Chile,Radioactive Waste Facility-Lo Aguirre (Treatment Plant),Disposal (LILW),,Commissioning,Commercial, ,1992,
Chile,Conditioning Storage Facility,Disposal (LILW),,In Operation,Commercial,48 m3,1992,
Chile,Radioactive Waste Facility-Lo Aguirre (Treatment Plant),Disposal (LILW),,In Operation,Commercial, ,1992,
Chile,Radioactive Waste Facility-Lo Aguirre (Temporary Container),Disposal (LILW),,In Operation,Commercial, ,2016,
Chile,Radioactive Waste Facility-Lo Aguirre (Operative Storage) DSRS,Disposal (LLW),,In Operation,Commercial, ,2024,
Chile,Radioactive Waste Facility-Lo Aguirre (Operative Storage),Disposal (LILW),,In Operation,Commercial, ,2007,
Chile,Radioactive Waste Facility-Lo Aguirre (Shipping Container),Disposal (LILW),,In Operation,Commercial, ,2014,
Chile,Conditioning Storage Facility (DSRS),Disposal (LILW),,In Operation,Commercial,48 m3,1992,
Chile,Radioactive Waste Facility-Lo Aguirre (Liquid Storage),Disposal (LILW),,In Operation,Commercial, ,2000,
Chile,Radioactive Waste Facility-Lo Aguirre (SEACL-Treatment Liquid Plant),Disposal (LILW),,In Operation,Commercial, ,2015,
China,Hengyang,Uranium Ore Processing,,Stand By,Commercial,1000 t U/year,1963,1996
China,"Lanzhou Nuclear Fuel Complex(LNFC,Gansu)",Conversion to UF6,,In Operation,Commercial,3000 t HM/year,1980,
China,"Jianzhong Nuclear Fuel, Sichuan","Fuel Fabrication (U Pellet, Pin, FA)","UOX for VVER, MOX for PWR",In Operation,Commercial,800 t U/year,1998,
China,Fuzhou,Uranium Ore Processing,,In Operation,Commercial,350 t U/year,1966,
China,Baimadong,Uranium Ore Processing,,Shutdown,Commercial,40 t U/year,1965,1989
China,Yining,Uranium Ore Processing,,In Operation,Commercial,480 t U/year,1993,
China,"Hanzhong Uranium Enrichment Plant,Shaanxi",Uranium Enrichment,,In Operation,Commercial,1000 MTSWU/year,1997,
China,Centralized Wet Storage Facility (CWSF),AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,1300 t U/year,2003,
China,Lanzhou Reprocessing Pilot Plant(RPP),Spent Fuel Reprocessing - aqueous route,,Under Construction,Pilot plant,0.1 t HM/year,,
China,Chongyi,Uranium Ore Processing,,In Operation,Commercial,120 t U/year,1979,
China,Tengchong,Uranium Ore Processing,,In Operation,Pilot plant,20 t U/year,1991,
China,Lantian,Uranium Ore Processing,,In Operation,Commercial,100 t U/year,1993,
China,Benxi,Uranium Ore Processing,,In Operation,Commercial,120 t U/year,1996,
China,"Lanzhou Nuclear Fuel Complex(LNFC), Gansu-Enrichment",Uranium Enrichment,,In Operation,Commercial,500 MTSWU/year,2005,
China,Candu Fuel Plant,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,In Operation,Commercial,200 t HM/year,2003,
China,Qinglong,Uranium Ore Processing,,In Operation,Commercial,100 t U/year,2007,
China,Shaoguan,Uranium Ore Processing,,In Operation,Commercial,160 t U/year,2008,
China,PWR Fuel Plant,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Commercial,600 t U/year,2012,
China,HTR Fuel Plant,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for HTR/GHTR,In Operation,Commercial,300000 Spheres/year,2016,
China,"Hengyang Uranium Plant, Hunan",Conversion to UF6,,In Operation,Commercial,3000 t U/year,2016,
China,Demonstration Reprocessing plant,Spent Fuel Reprocessing - aqueous route,UOX for PWR,Under Construction,Pilot plant,200 t HM/year,2025,
Czech Republic,TUU Straz pod Ralskem: Processing Plant and ISL Plan,Uranium Ore Processing,,Decommissioning,Commercial,250 t U/year,1967,1995
Czech Republic,MAPE Mydlovary Processing Plant,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,1962,1991
Czech Republic,GEAM Dolni Rozinka,Uranium Ore Processing,,Shutdown,Commercial,400 t U/year,1957,2017
Czech Republic,ISFSF Dukovany,AFR Dry Spent Fuel Storage,UOX for VVER,In Operation,Commercial,600 t HM,1995,
Czech Republic,SFSF Dukovany,AFR Dry Spent Fuel Storage,UOX for VVER,In Operation,Commercial,1340 t HM,2008,
Czech Republic,SFSF Temelin,AFR Dry Spent Fuel Storage,UOX for VVER,In Operation,Commercial,1370 t HM,2012,
Denmark,Danish Decommissioning,Fuel Fabrication (Research Reactors),,Decommissioned,Pilot plant,0 t HM/year,1988,2000
Egypt,Inchas Nuclear Fuel Laboratory,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,In Operation,Laboratory,0.1 t HM/year,1990,
Egypt,Fuel Element Fabrication Plant,Fuel Fabrication (Research Reactors),Fuel for MTR,In Operation,Pilot plant,40 Elements/year,1998,
Estonia,Sillamae,Uranium Ore Processing,,Shutdown,Commercial,1000 t U/year,1948,1977
Estonia,Interim storage,Disposal (LILW),,Commissioning,Commercial,417 m3,2015,2040
Estonia,Interim storage,Disposal (LILW),,In Operation,Commercial,671 m3,2015,
Estonia,Interim storage,Disposal (LILW),,In Operation,Commercial, ,2024,
Finland,"Olkiluoto NPP Site, TVO KPA",AFR Wet Spent Fuel Storage (Pool),UOX for BWR,In Operation,Commercial,1750 t HM,1987,
Finland,Loviisa NPP Site (Spent Fuel Storage 1),AFR Wet Spent Fuel Storage (Pool),UOX for VVER,In Operation,Commercial,60 t HM,1980,
Finland,Loviisa NPP Site (Spent Fuel Storage 2),AFR Wet Spent Fuel Storage (Pool),UOX for VVER,In Operation,Commercial,716 t HM,1985,
Finland,"Solid waste storage LLW(silos, MAJ)",Disposal (LLW),,In Operation,Commercial,8060 m3,1992,2080
Finland,Solid waste storage (RCA),Other-Waste Management Facilities,,In Operation,Commercial,805 m3,1997,2065
Finland,Solid waste storage (on site),Other-Waste Management Facilities,Others,In Operation,Commercial,1000 m3,2021,2065
Finland,Liquid waste storage (TW),Disposal (HLW),UOX for VVER,In Operation,Commercial,2400 m3,1997,2065
Finland,"Solid waste storage (silos, RCA)",Other-Waste Management Facilities,UOX for VVER,In Operation,Commercial,74 m3,1977,2033
Finland,Maintenance waste hall 1,Disposal (HLW),UOX for VVER,In Operation,Commercial,1270 m3,1997,2068
Finland,Solid waste storage(KAJ),Disposal (LLW),,In Operation,Commercial,14000 m3,1985,2038
Finland,Solid waste storage(MAJ),Disposal (HLW),,In Operation,Commercial,11000 m3,1985,2038
Finland,Liquid waste storage(OL1 and OL2),Other-Waste Management Facilities,,In Operation,Commercial,380 m3,1978,2038
Finland,"Solid waste storage ILW(silos,KAJ)",Disposal (ILW),,In Operation,Commercial,5642 m3,1992,2080
Finland,Solid waste drum storage(OL1 and 0L2),Other-Waste Management Facilities,,In Operation,Commercial,410 m3,1978,2080
Finland,"Liquid waste storage OL3 (KPE,KPK)",Other-Waste Management Facilities,,In Operation,Commercial,122 m3,2020,2060
Finland,Solid waste storage OL3 (KPA),Predisposal (HLW),,In Operation,Commercial,156 m3,2020,2060
Finland,Maintenance waste hall 2,Disposal (HLW),UOX for VVER,In Operation,Commercial,1270 m3,2005,2068
Finland,Maintenance waste hall 3,Other-Waste Management Facilities,,In Operation,Commercial,2000 m3,2012,2068
Finland,Solidified waste hall 1,Disposal (HLW),,In Operation,Commercial,8650 m3,2019,2068
Finland,FiR 1 site,Disposal (LILW),,Shutdown,Commercial, ,1962,2023
Finland,FiR 1 DSRS,Disposal (LILW),,Decommissioned,Commercial,2 m3,1962,2023
Finland,Interim storage of Finland,Disposal (LILW),,In Operation,Commercial,60 m3,1999,2038
Finland,VLLW,Disposal (LLW),,Others,Commercial, ,2035,
Finland,LLW/ILW,Disposal (LLW),,Others,Commercial, ,2037,
Finland,Deep geological repository,Disposal (HLW),,Others,Commercial, ,2025,
Finland,Olkiluoto 1 reactor building,AR Spent Fuel Storage (Wet),,In Operation,Commercial,260 t HM,2023,
Finland,Olkiluoto 2 reactor building,AR Spent Fuel Storage (Wet),,In Operation,Commercial,266 t HM,1980,2038
Finland,ISFS,AFR Wet Spent Fuel Storage (Pool),,Others,Commercial, ,2034,
France,SICN GCR Fuel Fabrication,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for GCR/AGR,Decommissioning,Commercial,1000 t HM/year,1957,1992
France,Atelier Pilote,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,6 t HM/year,1988,1997
France,Bessines,Uranium Ore Processing,,Decommissioned,Commercial,1500 t U/year,1958,1992
France,ATPu,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioned,Commercial,40 t HM/year,1961,2003
France,Framatome - Jarrie,Zirconium Alloy Production,,In Operation,Commercial,2200 t/year,1982,
France,Comurhex Pierrelatte (UF6),Conversion to UF6,,In Operation,Commercial,14000 t HM/year,1961,
France,Comurhex Pierrelatte (Rep. U),Conversion to UF6,,Shutdown,Commercial,350 t HM/year,1976,
France,Areva NC W Plant,Re-Conversion to U3O8 (Rep. U),,In Operation,Commercial,14000 t HM/year,1984,
France,Framatome - Pierrelatte,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,Decommissioned,Commercial,500 t HM/year,1986,1999
France,Eurodif (Georges Besse),Uranium Enrichment,,Decommissioning,Commercial,10800 MTSWU/year,1979,2011
France,L'Ecarpiere,Uranium Ore Processing,,Decommissioned,Commercial,650 t U/year,1957,1991
France,La Hague - NPH,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,2000 t HM,1981,
France,Le Cellier,Uranium Ore Processing,,Decommissioned,Commercial,300 t U/year,1977,1987
France,Le Bernardan (Jouac),Uranium Ore Processing,,Decommissioned,Commercial,600 t U/year,1979,2001
