Country,Facility Name,Facility Type,Fuel Type,Facility Status,Scale,Design Capacity,Start of Operation,End of Operation
United Kingdom,NDA Magnox Reprocessing Pilot Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,0 t HM/year,1956,1968
United Kingdom,NDA Uranium Purification Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0 t HM/year,1952,1973
United Kingdom,NDA Solvent Regeneration Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0 t HM/year,1952,1963
United Kingdom,NDA  Pu Residues Recovery Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0 t HM/year,1954,1987
United Kingdom,NDA  Reprocessing Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0 t HM/year,1952,1973
United Kingdom,NDA Plutonium Operating Corridors,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0 t HM/year,1964,1968
United Kingdom,NDA Sellafield Pond,AFR Wet Spent Fuel Storage (Pool),,Decommissioning,Commercial,0 t HM,1952,1964
United Kingdom,NDA Dry Granulation Production,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioning,Commercial,0 t HM/year,,1988
United Kingdom,NDA Thorp Miniature Pilot Plant (TMPP),Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,0 t HM/year,,
United Kingdom,NDA Sellafield North Group Facilities,Spent Fuel Reprocessing - aqueous route,,Decommissioned,Commercial,0 t HM/year,1953,1985
United States of America,Allens Park,Zirconium Alloy Tubing,,In Operation,Commercial,500 km/year,1981,
United States of America,Apollo,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for FBR,Decommissioned,Commercial,360 t HM/year,1957,1986
United States of America,Bear Creek,Uranium Ore Processing,,Decommissioned,Laboratory,400 t U/year,1977,1985
United States of America,Bluewater,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,,1982
United States of America,Bruni,Uranium Ore Processing,,Decommissioned,Commercial,330 t U/year,1977,1980
United States of America,Burns,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,1977,1987
United States of America,Canon City-I,Uranium Ore Processing,,Decommissioned,Commercial,300 t U/year,1958,1987
United States of America,L-Bar,Uranium Ore Processing,,Decommissioned,Commercial,1000 t U/year,1976,1981
United States of America,Christensen Ranch,Uranium Ore Processing,,Stand By,Commercial,250 t U/year,1989,2000
United States of America,Clay West,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,1975,1987
United States of America,Columbia Fuel Fabrication Facility,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Commercial,1350 t U/year,1969,
United States of America,Faustina (Agrico),Uranium Recovery from Phosphates,,Stand By,Commercial,181 t U/year,1981,1999
United States of America,Falls City,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,,1983
United States of America,Gas Hills / American Nuclear,Uranium Ore Processing,,Decommissioned,Commercial,400 t U/year,1959,1986
United States of America,Sequoyah Facility,Conversion to UF6,,Shutdown,Commercial,9090 t HM/year,1970,1993
United States of America,Hematite (ABB-CE),"Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",Decommissioning,Commercial,450 t HM/year,1986,2001
United States of America,Hobson,Uranium Ore Processing,,In Operation,Commercial,385 t U/year,1979,
United States of America,Grants,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,1958,1990
United States of America,Irigaray Ranch,Uranium Ore Processing,,Stand By,Commercial,130 t U/year,1978,
United States of America,Split Rock,Uranium Ore Processing,,Decommissioned,Laboratory,0 t U/year,1973,1982
United States of America,Kennewick,Zirconium Alloy Tubing,,In Operation,Commercial,2200 km/year,1981,
United States of America,Kingsville Dome,Uranium Ore Processing,,In Operation,Commercial,385 t U/year,1988,1999
United States of America,Las Palmas,Uranium Ore Processing,,Decommissioning,Commercial,0 t U/year,1981,1984
United States of America,Lisbon,Uranium Ore Processing,,Decommissioned,Commercial,350 t U/year,1972,1988
United States of America,Lucky Mc (Pathfinder),Uranium Ore Processing,,Stand By,Commercial,710 t U/year,1978,1985
United States of America,Lynchburg - FC Fuels,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Commercial,400 t HM/year,1982,
United States of America,McBryde,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,1983,1985
United States of America,Metropolis Conversion Facility,Conversion to UF6,,In Operation,Commercial,7000 t U/year,1964,
United States of America,Moab,Uranium Ore Processing,,Decommissioned,Commercial,1500 t U/year,1956,1988
United States of America,Morris Reprocessing Plant Site (Wet),AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,750 t HM,1984,
United States of America,Mt. Lucas,Uranium Ore Processing,,Decommissioning,Commercial,100 t U/year,1984,1988
United States of America,Bartow Module,Uranium Recovery from Phosphates,,Decommissioned,Commercial,200 t U/year,1976,1980
United States of America,Gas Hills / Umetco,Uranium Ore Processing,,Decommissioned,Commercial,300 t U/year,1960,1986
United States of America,"Oak Ridge K-25, Y-12",Uranium Enrichment,,Decommissioning,Commercial,8500 MTSWU/year,1945,1985
United States of America,Paducah Gaseous Diffusion,Uranium Enrichment,,Shutdown,Commercial,11300 MTSWU/year,1965,2013
United States of America,Palangana,Uranium Ore Processing,,Shutdown,Commercial,45 t U/year,1969,1991
United States of America,Panna Maria,Uranium Ore Processing,,Decommissioned,Commercial,580 t U/year,1979,1992
United States of America,Shirley Basin / Pathfinder,Uranium Ore Processing,,Decommissioned,Commercial,1000 t U/year,1971,1992
United States of America,Plant City Module,Uranium Recovery from Phosphates,,Stand By,Commercial,270 t U/year,1981,1992
United States of America,Portsmouth Gaseous Diffusion,Uranium Enrichment,,Shutdown,Commercial,7400 MTSWU/year,1965,2001
United States of America,Sweetwater,Uranium Ore Processing,,Stand By,Commercial,350 t U/year,1981,1983
United States of America,Richland Fuel Fabrication Plant,"Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",In Operation,Commercial,700 t U/year,1972,
United States of America,Rosita,Uranium Ore Processing,,Shutdown,Commercial,385 t U/year,1990,1999
United States of America,Smith Ranch,Uranium Ore Processing,,In Operation,Commercial,2116 t U/year,1988,
United States of America,Wah Chang - Albany,Zirconium Alloy Production,,In Operation,Commercial,2000 t/year,1956,
United States of America,Gruy Ranch (Satellite),Uranium Ore Processing,,Shutdown,Commercial,100 t U/year,1988,1992
United States of America,Shirley Basin / Petromics,Uranium Ore Processing,,Shutdown,Commercial,400 t U/year,1962,1985
United States of America,Shootering Canyon,Uranium Ore Processing,,In Operation,Commercial,380 t U/year,1982,
United States of America,Trevino,Uranium Ore Processing,,Decommissioned,Commercial,150 t U/year,1981,1985
United States of America,Uncle Sam,Uranium Recovery from Phosphates,,Stand By,Commercial,350 t U/year,1978,1999
United States of America,Uravan,Uranium Ore Processing,,Decommissioned,Commercial,490 t U/year,1948,1984
United States of America,Wellpinit,Uranium Ore Processing,,Decommissioned,Commercial,420 t U/year,1978,1984
United States of America,Western Zirconium,Zirconium Alloy Production,,In Operation,Commercial,1350 t/year,1980,
United States of America,White Mesa Mill,Uranium Ore Processing,,In Operation,Commercial,1200 t U/year,1980,1997
United States of America,Wilmington Facility,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for BWR,In Operation,Commercial,1200 t HM/year,1982,
United States of America,Wilmington,Zirconium Alloy Tubing,,In Operation,Commercial,2200 km/year,1981,
United States of America,Zamzow,Uranium Ore Processing,,Decommissioned,Commercial,60 t U/year,1977,1986
United States of America,Lawrence Livermore National Laboratory,Uranium Enrichment,,Decommissioned,Laboratory,1 MTSWU/year,1991,1999
United States of America,"Rhone Poulenc, Inc.",Uranium Ore Processing,,Shutdown,Commercial,15 t U/year,,
United States of America,Hansen,Uranium Ore Processing,,Others,Commercial,0 t U/year,,
United States of America,Lamprecht,Uranium Ore Processing,,Decommissioned,Commercial,100 t U/year,1985,1988
United States of America,Crow Butte,Uranium Ore Processing,,In Operation,Commercial,385 t U/year,1991,
United States of America,Highland,Uranium Ore Processing,,Stand By,Commercial,580 t U/year,1988,2002
United States of America,Midnite,Uranium Ore Processing,,Stand By,Commercial,200 t U/year,1957,1982
United States of America,Holiday / El Mesquite,Uranium Ore Processing,,Decommissioning,Commercial,250 t U/year,1979,1997
United States of America,Marquez,Uranium Ore Processing,,Others,Commercial,0 t U/year,1982,
United States of America,West Cole,Uranium Ore Processing,,Decommissioned,Commercial,80 t U/year,1981,1989
United States of America,Ambrosia Lake,Uranium Ore Processing,,Stand By,Commercial,3300 t U/year,1958,1992
United States of America,Oak Ridge,Spent Fuel Reprocessing - aqueous route,,Others,Commercial,150 t HM/year,,
United States of America,GE Morris,Spent Fuel Reprocessing - aqueous route,,Shutdown,Commercial,300 t HM/year,1971,1971
United States of America,West Valley,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,300 t HM/year,1966,1972
United States of America,Barnwell,Spent Fuel Reprocessing - aqueous route,,Others,Commercial,1500 t HM/year,1974,1983
United States of America,New Wales Plant,Uranium Recovery from Phosphates,,Stand By,Commercial,425 t U/year,1980,1992
United States of America,West Valley Reprocessing Plant Site,AFR Wet Spent Fuel Storage (Pool),,Decommissioning,Commercial,27 t HM,1966,
United States of America,Alta Mesa,Uranium Ore Processing,,In Operation,Commercial,385 t U/year,2005,
United States of America,Canon City,Uranium Ore Processing,,In Operation,Commercial,210 t U/year,1979,
United States of America,Owl Creek NPP Site,AFR Dry Spent Fuel Storage,,Others,Commercial,40000 t HM,,
United States of America,Arkansas Nuclear No:1 NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,150 t HM,1997,
United States of America,Peach Bottom NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,0 t HM,2000,
United States of America,Prairie Island NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,724 t HM,1994,
United States of America,Fort St. Vrain NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,15.4 t HM,1992,
United States of America,Point Beach NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,447 t HM,1995,
United States of America,Palisades NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,233 t HM,1993,
United States of America,Davis Besse NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,360 t HM,1995,
United States of America,Calvert Cliffs NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,1112 t HM,1992,
United States of America,Surry NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,808 t HM,1986,
United States of America,H.B. Robinson NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,26 t HM,1986,
United States of America,Oconee NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,380 t HM,1990,
United States of America,Claiborne Enrichment Center,Uranium Enrichment,,Others,Commercial,1500 MTSWU/year,,
United States of America,Big Rock Point NPP Site (shutdown) ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,0 t HM,,
United States of America,Trojan NPP Site (shutdown) ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,359 t HM,,
United States of America,McGuire NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,0 t HM,2000,
United States of America,Los Alamos Plutonium Facility,Spent Fuel Reprocessing - aqueous route,,Shutdown,Laboratory,0 t HM/year,,
United States of America,"Idaho CPP-603 IFSF, CPP-749",AFR Dry Spent Fuel Storage,,In Operation,Laboratory,270 t HM,1975,
United States of America,"Idaho CPP-603, CPP-666",AFR Wet Spent Fuel Storage (Pool),,In Operation,Laboratory,0 t HM,1952,
United States of America,Savannah River (SRS),AFR Wet Spent Fuel Storage (Pool),,In Operation,Laboratory,0 t HM,,
United States of America,Actinide Packaging and Storage Fac. (APSF),AFR Dry Spent Fuel Storage,,Others,Laboratory,2001 t HM,,
United States of America,Idaho Chemical Processing Plant,Spent Fuel Reprocessing - aqueous route,,Shutdown,Laboratory,100 t HM/year,1959,1992
United States of America,Hanford,"Fuel Fabrication (U Pellet, Pin, FA)",,Shutdown,Laboratory,0 t HM/year,1961,1989
United States of America,Hanford - K Basins,AFR Wet Spent Fuel Storage (Pool),,In Operation,Laboratory,2100 t HM,1950,
United States of America,Hanford - Plutonium Finishing Plant,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Shutdown,Laboratory,0 t HM/year,1949,1989
United States of America,Hanford - B Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Laboratory,2400 t HM/year,1956,1989
United States of America,Hanford,Conversion to UO3,,Shutdown,Laboratory,0 t HM/year,1956,1972
United States of America,Hanford - Canister Storage Building,AFR Dry Spent Fuel Storage,,Under Construction,Laboratory,2300 t HM,2003,
United States of America,Fuels and Materials Examination Fac. (FMEF),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Stand By,Laboratory,0 t HM/year,,
United States of America,Green River,Uranium Ore Processing,,Decommissioned,Commercial,0 t U/year,1958,1961
United States of America,Idaho TAN-607 demonstration,AFR Dry Spent Fuel Storage,,In Operation,Laboratory,0 t HM,1975,
United States of America,"TMI-2, Debris at Idaho",AFR Dry Spent Fuel Storage,,In Operation,Laboratory,130 t HM,1999,
United States of America,DeMOX - ToMOX,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Others,Commercial,0 t HM/year,,
United States of America,Private Fuel Storage ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,40000 t HM,,
United States of America,Savannah River (SRS),"Fuel Fabrication (U Pellet, Pin, FA)",,Under Construction,Pilot plant,70 t/year,1978,1985
United States of America,Barnwell,Re-conversion to UO2 Powder,,Others,Commercial,0 t HM/year,,
United States of America,North Anna NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,840 t HM,1998,
United States of America,Portsmouth,Re-conversion to UO2 Powder,,In Operation,Commercial,13500 t HM/year,2010,
United States of America,Paducah,Re-conversion to UO2 Powder,,In Operation,Commercial,18000 t HM/year,2010,
United States of America,Dresden NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,70 t HM,2001,
United States of America,Oyster Creek NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,2000,
United States of America,Rancho Seco NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,202 t HM,1989,
United States of America,Susquehanna NPP Site  ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,343 t HM,1998,
United States of America,Duane Arnold NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,0 t HM,2004,
United States of America,Plant 7 (Hex Reduction Plant),Conversion to UF4,,Decommissioned,Commercial,0 t HM/year,1954,1956
United States of America,RMI Extrusion Plant,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioning,Commercial,0 t HM/year,1962,1988
United States of America,DP West Plutonium Facility,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioning,Commercial,0 t HM/year,1944,1978
United States of America,Uranium Manufacturing Facility - Compton,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioned,Commercial,0 t HM/year,1967,1986
United States of America,Fuel Fabrication Facility Attleboro,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioned,Commercial,0 t HM/year,1952,1981
United States of America,Uranium Fuel Fabrication Plant,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioned,Commercial,0 t HM/year,1957,1966
United States of America,B212 Plutonium Glovebox,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioned,Laboratory,0 t HM/year,1960,1990
United States of America,Plutonium Fabrication Facility (Building 350),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioned,Pilot plant,0 t HM/year,1959,1973
United States of America,Uranium Fuel Fabrication Plant - San Jose,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioned,Commercial,0 t HM/year,1962,1978
United States of America,Advanced Fuel Laboratory,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioned,Laboratory,0 t HM/year,1962,1979
United States of America,Special Metallurgical Facility,Spent Fuel Reprocessing - aqueous route,,Decommissioned,Commercial,0 t HM/year,1960,1968
United States of America,Nuclear Material Development Facility,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioned,Laboratory,0 t HM/year,1967,1980
United States of America,Nuclear Fuel Services,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioned,Commercial,0 t HM/year,1965,1972
United States of America,Weldon Spring Site,Conversion to UO2,,Decommissioned,Commercial,0 t HM/year,1957,1966
United States of America,LANL TA-21,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioned,Commercial,0 t HM/year,1950,1984
United States of America,Hanford T Plant Complex,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,0 t HM/year,1944,1956
United States of America,Hanford Redox Facility,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,0 t HM/year,1949,1956
United States of America,American Centrifuge Demonstration Facility,Uranium Enrichment,,Commissioning,Pilot plant,0 MTSWU/year,,
United States of America,Vasquez,Uranium Ore Processing,,In Operation,Commercial,308 t U/year,2004,
United States of America,Urenco USA,Uranium Enrichment,,In Operation,Commercial,4800 MTSWU/year,2010,
United States of America,Browns Ferry NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,2004,
United States of America,Columbia Generating Station NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,2000,
United States of America,Farley NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,2006,
United States of America,FitzPatrick NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,2002,
United States of America,Haddam Neck NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,1996,
United States of America,Hatch NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,1998,
United States of America,Maine Yankee NPP Site (shut down) ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,1997,
United States of America,Millstone NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,2004,
United States of America,Palo Verde NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,2003,
United States of America,Quad Cities NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,2004,
United States of America,Rancho Seco NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,1989,
United States of America,River Bend NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,2006,
United States of America,San Onofre NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,2007,
United States of America,Sequoyah NPP Site ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,2004,
United States of America,Yankee Rowe NPP Site (shutdown) ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial,190 t HM,1991,
United States of America,BWX Technology (BWXT) Fuel Facility,Fuel Fabrication (Research Reactors),,In Operation,Commercial,100 t HM/year,1982,
United States of America,American Centrifuge Plant,Uranium Enrichment,,Under Construction,Commercial,4800 MTSWU/year,,
United States of America,H-Canyon,Spent Fuel Reprocessing - aqueous route,,In Operation,, ,1955,2019
United States of America,Church Rock,Uranium Ore Processing,,Under Construction,Commercial,385 t U/year,,
United States of America,Eagle Enrichment Facility,Uranium Enrichment,,Others,Commercial,3300 MTSWU/year,2014,
United States of America,Global Laser Enrichment (GLE),Uranium Enrichment,,Others,,3500 MTSWU/year,2013,
United States of America,Goliad Uranium Project,Uranium Ore Processing,,Others,, ,,
United States of America,Fluorine Extraction Process and Depleted Uranium Deconversion Plant (FEP/DUP),Re-conversion to UO2 Powder,,Others,Commercial,6500 t/year,2013,
United States of America,Job and Antelope,Uranium Ore Processing,,Under Construction,Commercial,770 t U/year,,
United States of America,La Palangana,Uranium Ore Processing,,In Operation,Commercial,385 t U/year,2010,
United States of America,Lost Creek,Uranium Ore Processing,,Under Construction,Commercial,770 t U/year,,
United States of America,Moore Ranch,Uranium Ore Processing,,In Operation,Commercial,770 t U/year,2010,
United States of America,MOX Fuel Fabrication Facility (MFFF),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Under Construction,, ,2016,
United States of America,Nichols Ranch ISL Project,Uranium Ore Processing,,Under Construction,Commercial, ,,
United States of America,Pinon Ridge Mill,Uranium Ore Processing,,Under Construction,Commercial, ,,
United States of America,Nichols Project,Uranium Ore Processing,,Under Construction,, ,,
United States of America,Brunswick NPP ISFSI,AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Byron NPP Site
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Catawba NPP ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Cooper Station ISFSI
",AFR Dry Spent Fuel Storage,,Others,Commercial, ,,
United States of America,"Diablo Canyon NPP Site ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,2008,
United States of America,"Fort Calhoun NPP Site ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Ginna NPP ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Grand Gulf NPP Site ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Hope Creek/Salem (combined) ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Humboldt Bay
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Indian Point ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Kewaunee NPP ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Lacrosse NPP (shutdown) ISFSI
",AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial, ,,
United States of America,"LaSalle County ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Limerick NPP ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Seabrook ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"St. Lucie NPP Site
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,"Vermont Yankee NPP ISFSI
",AFR Dry Spent Fuel Storage,,In Operation,Commercial, ,,
United States of America,Richland Fuel Fabrication Plant,Conversion to UO2,,In Operation,Commercial,1200 t U/year,1972,
United States of America,Consolidated Interim Storage facility,AFR Dry Spent Fuel Storage,,Under Construction,Commercial,40000 t HM,2022,
United States of America,Consolidated Interim Storage Facility (CISF),AFR Dry Spent Fuel Storage,,Others,Commercial,10000 ,2022,
United States of America,TRISO-X Fuel Fabrication Facility,Fuel Fabrication (Pebble Bed Type),,In Operation,Pilot plant, ,2023,
United States of America,HALEU Demonstration Plant,"Fuel Fabrication (U Pellet, Pin, FA)",HALEU fuel,Under Construction,Pilot plant,0.9 t U/year,2024,
Uzbekistan,Navoi Hydrometallurgical Plant No.1,Uranium Ore Processing,,In Operation,Commercial,4000 t U/year,1964,