Country,Reactor Count,Latitude,Longitude
ARGENTINA,4,-34.9964963,-64.9672817
ARMENIA,2,4.536307,-75.6723751
BANGLADESH,2,24.4769288,90.2934413
BELARUS,2,53.4250605,27.6971358
BELGIUM,8,50.6402809,4.6667145
BRAZIL,3,-10.3333333,-53.2
BULGARIA,6,42.6073975,25.4856617
CANADA,25,61.0666922,-107.991707
CHINA,81,35.0000663,104.999955
CZECH REPUBLIC,6,49.7439047,15.3381061
EGYPT,3,26.2540493,29.2675469
FINLAND,5,63.2467777,25.9209164
FRANCE,71,46.603354,1.8883335
GERMANY,36,51.1638175,10.4478313
HUNGARY,4,47.1817585,19.5060937
INDIA,31,22.3511148,78.6677428
"IRAN, ISLAMIC REPUBLIC OF",2,32.6475314,54.5643516
ITALY,4,42.6384261,12.674297
JAPAN,62,36.5748441,139.2394179
KAZAKHSTAN,1,48.1012954,66.7780818
"KOREA, REPUBLIC OF",30,36.638392,127.6961188
LITHUANIA,2,55.3500003,23.7499997
MEXICO,2,19.4326296,-99.1331785
"NETHERLANDS, KINGDOM OF THE",2,52.24764975,5.541246849406163
PAKISTAN,7,30.3308401,71.247499
ROMANIA,2,45.9852129,24.6859225
RUSSIA,51,64.6863136,97.7453061
SLOVAKIA,9,48.7411522,19.4528646
SLOVENIA,1,46.1199444,14.8153333
SOUTH AFRICA,2,-28.8166236,24.991639
SPAIN,10,39.3260685,-4.8379791
SWEDEN,13,59.6749712,14.5208584
SWITZERLAND,6,46.7985624,8.2319736
"TAIWAN, CHINA",6,24.93836745,118.58541419241348
TÃœRKIYE,4,38.9597594,34.9249653
UKRAINE,21,49.4871968,31.2718321
UNITED ARAB EMIRATES,4,24.0002488,53.9994829
UNITED KINGDOM,47,54.7023545,-3.2765753
UNITED STATES OF AMERICA,135,39.7837304,-100.445882
